Subj,Num,Section,Prof_Last,Prof_First,ISBN,Libgen_link
ABTS,1100,ONLINE,STORY,WANDA,076385199X,-1
ABTS,1120,01,TBA,TBA,1305871200,-1
ABTS,1120,ONLINE,STORY,WANDA,1285167325,-1
ABTS,1130,ONLINE,STORY,WANDA,0997560924,-1
ABTS,1140,01,TBA,TBA,0997560916,-1
ABTS,1140,ONLINE,STORY,WANDA,0997560916,-1
ABTS,1200,ONLINE,STORY,WANDA,-2,-1
ABTS,1210,ONLINE,STORY,WANDA,1285169360,http://gen.lib.rus.ec/get.php?md5=4FB552F6810C621893932FC172182730
ABTS,1220,01,TBA,TBA,-2,-1
ABTS,1220,ONLINE,STORY,WANDA,-2,-1
ABTS,1230,ONLINE,STORY,WANDA,1285099222,-1
ABTS,1240,01,TBA,TBA,-2,-1
ABTS,1240,ONLINE,STORY,WANDA,-2,-1
ABTS,1260,01,TBA,TBA,-2,-1
ABTS,1260,ONLINE,STORY,WANDA,-2,-1
ABTS,1270,01,TBA,TBA,0763872571,-1
ABTS,1270,ONLINE,STORY,WANDA,0763872571,-1
ABTS,1300,ONLINE,STORY,WANDA,0176582967,-1
ABTS,1310,01,TBA,TBA,0176531408,-1
ABTS,1310,ONLINE,STORY,WANDA,0176531408,-1
ABTS,1410,01,TBA,TBA,013458578X,-1
ABTS,1410,ONLINE,STORY,WANDA,013458578X,-1
ABTS,1430,ONLINE,STORY,WANDA,0134654765,-1
ABTS,1440,01,TBA,TBA,-2,-1
ABTS,1440,ONLINE,STORY,WANDA,-2,-1
ABTS,1500,ONLINE,STORY,WANDA,0138127875,-1
ABTS,1510,01,TBA,TBA,-2,-1
ABTS,1510,ONLINE,STORY,WANDA,0132825937,-1
ABTS,1530,01,TBA,TBA,0133426858,-1
ABTS,1530,ONLINE,STORY,WANDA,013216437X,-1
ABTS,1540,ONLINE,STORY,WANDA,0028138317,-1
ACCT,1000,01,NOSKOVA,JANA,1119368456,-1
ACCT,1000,02,NOSKOVA,JANA,1119368456,-1
ACCT,2210,01,MCKIMMON,PEGGY,1119368456,-1
ACCT,2210,02,MCKIMMON,PEGGY,1119368456,-1
ACCT,2210,03,ANDERSON,ROB,1119368456,-1
ACCT,2210,04,MCKIMMON,PEGGY,1119368456,-1
ACCT,2210,05,MULLINS,PETER,1119368456,-1
ACCT,2210,06,KENT,JEFF,1119368456,-1
ACCT,2250,01,NOSKOVA,JANA,1259256081,-1
ACCT,2250,02,SINGULAR,WAYNE,1259256081,-1
ACCT,2250,03,SINGULAR,WAYNE,1259256081,-1
ACCT,2250,04,HAYS,MICHAEL,1259256081,-1
ACCT,2250,05,NOSKOVA,JANA,1259256081,-1
ACCT,2250,06,SINGULAR,WAYNE,1259256081,-1
ACCT,2250,07,DUBORD,MARC,1259256081,-1
ACCT,2280,01,NOSKOVA,JANA,013458578X,-1
ACCT,3210,01,ANDERSON,ROB,1119048540,-1
ACCT,3210,02,MCKIMMON,PEGGY,1119048540,-1
ACCT,3220,01,DESJARDINS,IVAN,0134833643,-1
ACCT,3230,ALL,DESJARDINS,IVAN,0134833643,-1
ACCT,3250,01,SINGULAR,WAYNE,0133897052,-1
ACCT,4200,01,ANDERSON,ROB,1259087557,-1
ACCT,4230,01,BELL,TONY,0134253612,-1
ACCT,4250,01,BELL,TONY,1292110554,-1
ADVG,1560,ALL,TBA,TBA,-1,-1
ADVG,2040,01,CLOUTIER,ROSS,-2,-1
ADVG,2650,ALL,OSBERG,SARAH,0986561304,-1
ADVG,2660,ALL,TBA,TBA,-2,-1
ADVG,4030,01,TBA,TBA,-2,-1
AGSC,2200,01,TBA,TBA,-2,-1
ANHD,1010,D1,TBA,TBA,0702047430,-1
ANHD,1100,D1,TBA,TBA,0323356214,-1
ANHD,2110,D1,TBA,TBA,0813810086,http://gen.lib.rus.ec/get.php?md5=33C2CA59A5B4AF06FD653D0B5143DF05
ANHD,2150,D1,TBA,TBA,0911910611,-1
ANHD,3140,D1,TBA,TBA,032324971X,-1
ANHD,3170,D1,TBA,TBA,0702049433,-1
ANHT,1530,01,SHANNON,HEATHER,1118997778,http://gen.lib.rus.ec/get.php?md5=C47331B4D545CE1854BB765D72B0DD2B
ANHT,1560,01,FRASER,HEATHER,0323086799,-1
ANHT,1620,01,SHANNON,HEATHER,-2,-1
ANHT,1670,01,MANFIELD,ROBINA,0750652861,-1
