id, ap_id, mac, ap_radio_index, ap_radio_description, ssid, vlan, radio_mode, connect_time, ht_mode, security_mode, authen_subtype, cipher, interface_index, ap_folder_id, from_snmp_trap, authen_type_meaningful, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, tunneled_device_id, search_mac, from_snmp_poll, dmz_auth_set, from_amon, controller_id
33260,237,78:6C:1C:2B:57:1B,1,802.11bgn,tru,7,g,1496313470,0,\N,PAP,\N,\N,7,0,1,0,0,0,0,0,0,0,\N,786C1C2B571B,1,0,0,187
33600,205,64:BC:0C:64:52:02,2,802.11ac,tru,7,a,1496337255,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,64BC0C645202,1,0,0,187
33512,192,AC:37:43:A3:B9:E0,2,802.11ac,eduroam,12,a,1496334547,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,AC3743A3B9E0,1,0,0,187
33509,192,F4:0F:24:2E:58:1C,2,802.11ac,eduroam,12,a,1496334547,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,F40F242E581C,1,0,0,187
33514,192,8C:F5:A3:BB:AA:DD,2,802.11ac,eduroam,12,a,1496334547,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,8CF5A3BBAADD,1,0,0,187
32291,205,E4:CE:8F:62:A1:30,2,802.11ac,tru,7,a,1496250517,0,\N,\N,\N,\N,4,0,0,0,0,0,0,0,0,0,\N,E4CE8F62A130,1,0,0,187
33381,238,B4:74:43:3E:55:57,1,802.11bgn,eduroam,12,g,1496330632,0,\N,EAP-PEAP,\N,\N,7,0,1,0,0,0,0,0,0,0,\N,B474433E5557,1,0,0,187
33425,193,54:4E:90:3E:90:DC,2,802.11ac,eduroam,12,a,1496331837,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,544E903E90DC,1,0,0,187
33479,201,DC:9B:9C:35:62:DC,2,802.11ac,eduroam,12,a,1496333642,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,DC9B9C3562DC,1,0,0,187
33601,205,AC:5F:3E:3E:FA:C9,2,802.11ac,eduroam,12,a,1496337255,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,AC5F3E3EFAC9,1,0,0,187
33557,197,88:AD:D2:DD:0F:5E,1,802.11bgn,eduroam,12,g,1496335750,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,88ADD2DD0F5E,1,0,0,187
33289,203,7C:C3:A1:B1:23:ED,2,802.11ac,eduroam,12,a,1496325812,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,7CC3A1B123ED,1,0,0,187
33602,197,24:DA:9B:0E:BA:AA,2,802.11ac,tru,7,a,1496337255,0,\N,PAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,24DA9B0EBAAA,1,0,0,187
33603,197,C0:CE:CD:2E:6D:33,1,802.11bgn,eduroam,12,g,1496337255,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,C0CECD2E6D33,1,0,0,187
33604,191,F0:79:60:48:68:DD,2,802.11ac,eduroam,12,a,1496337255,0,\N,EAP-PEAP,\N,\N,4,0,1,0,0,0,0,0,0,0,\N,F079604868DD,1,0,0,187
33238,196,B8:09:8A:C6:B6:6B,2,802.11ac,eduroam,12,a,1496298746,0,\N,EAP-PEAP,\N,\N,1,0,1,0,0,0,0,0,0,0,\N,B8098AC6B66B,1,0,0,187
