id, mac, first_ap_id, last_ap_id, ssid, vlan, radio_mode,ap_radio_index, ap_radio_description, ht_mode,first_start, first_stop, last_start, last_stop,interface_index, first_ap_folder_id, last_ap_folder_id, rsta_type, rsta_type_user_set, forward_mode, device_os,device_os_detail, mdm_server_id, device_id,from_snmp_trap, tunneled_device_id, user_agent_string,aruba_device_type, device_classification_source,vendor, authen_type, authen_state_from_mib, login_time, logout_time, device_type,device_manufacturer, device_model, notes,serial_number, phone_number, network_chipset,network_driver,eap_supplicant, asset_id,asset_group,asset_category, service_start_string, service_end_string, client_name_enabled, serial_number_enabled,phone_number_enabled,network_chipset_enabled,network_driver_enabled, eap_supplicant_enabled, asset_id_enabled, asset_group_enabled, asset_category_enabled, service_start_st ring_enabled, service_end_string_enabled, device_type_enabled, device_manufacturer_enabled, device_model_enabled, device_os_enabled, device_os_detail_enabled, self_ap_id, search_mac, is_vip, device_classification_source_version
5,B0:72:BF:4A:55:7D,205,200,eduroam,12,a,2,802.11ac,0,1492551392,1492555595,1492987443,1492994644,\N,1,4,1,0,0,Android,Linux; U; Android 7.0; SM-G935W8 Build/NRD90M,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G935W8 Build/NRD90M,Android,2,Unknown,\N,0,1492987443,1492994645,Android,,SM-G935W8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,B072BF4A557D,0,\N
48,88:66:A5:09:38:CE,205,205,tru,7,g,1,802.11bgn,0,1492557396,1492558596,1493072376,1493072977,\N,1,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Unknown,\N,0,\N,\N,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,8866A50938CE,0,\N
1,38:CA:DA:EF:18:68,205,205,tru,7,g,1,802.11bgn,0,1492551392,1492551993,1493838294,1493840095,\N,1,4,1,0,0,iOS,10_2_1,\N,\N,0,\N,Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_1 like Mac OS X) AppleWebKit/602.4.6 (KHTML\, like Gecko) Mobile/14D27,iPhone,2,Apple\, Inc.,\N,0,\N,\N,Apple iPhone,Apple,iPhone,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,38CADAEF1868
566,94:FE:22:01:D0:11,205,205,tru,7,g,1,802.11bgn,0,1493131790,1493132991,1495119210,1495120111,\N,4,4,1,0,0,Linux,X11; Linux x86_64,\N,\N,0,\N,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML\, like Gecko) Chrome/52.0.2743.82 Safari/537.36,Linux,2,Unknown,\N,0,\N,\N,Linux,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,94FE2201D011,0
4,5C:70:A3:6D:3E:8E,205,189,tru,7,a,2,802.11ac,0,1492551392,1492551993,1496433339,1496433640,\N,1,4,1,0,0,Android,Linux; U; Android 6.0; LG-H812 Build/MRA58K,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 6.0; LG-H812 Build/MRA58K),Android,2,Unknown,\N,0,1496433343,1496433643,LG H812,LG,H812,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,5C70A36D3E8E,0,\N
47,A4:E4:B8:AD:DD:7D,205,205,eduroam,12,a,2,802.11ac,0,1492557396,1492558596,1495840883,1495841784,\N,1,4,1,0,0,Android,Linux; U; Android 6.0.1; STH100-1 Build/MMB29M,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 6.0.1; STH100-1 Build/MMB29M),Android,2,BlackBerry RTS,\N,0,1495840885,1495841785,Motorola STH100-1,Motorola,STH100-1,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,A4E4B8ADDD7D,0,\N
1679,8C:8E:F2:29:02:BA,205,205,eduroam,12,g,1,802.11bgn,0,1496070499,1496070800,1496070499,1496070800,\N,4,4,1,0,0,,,\N,\N,0,\N,\N,,\N,Unknown,\N,0,\N,\N,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,8C8EF22902BA,0,\N
1686,E0:2C:B2:57:1C:32,205,205,eduroam,12,g,1,802.11bgn,0,1496080716,1496081016,1496080716,1496081016,\N,4,4,1,0,0,Android,Linux; U; Android 4.4.2; Tab2A7-20F Build/KOT49H,\N,\N,0,\N,Dalvik/1.6.0 (Linux; U; Android 4.4.2; Tab2A7-20F Build/KOT49H),Android,2,Lenovo Mobile Communication (Wuhan) Company Limited,\N,0,1496080719,1496081019,Android,,Tab2A7-20F,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,E02CB2571C32,0,\N
1128,88:66:A5:49:E2:50,194,194,eduroam,12,a,2,802.11ac,0,1494258044,1494264354,1496677528,\N,\N,4,4,1,0,0,iOS,10.3.2 (14F89),\N,\N,0,\N,iPhone8\,1/10.3.2 (14F89),iPhone,2,Unknown,EAP,1,1496677531,\N,Apple iPhone,Apple,iPhone,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,8866A549E250,0
96,2C:0E:3D:75:A4:76,205,197,tru,7,a,2,802.11ac,0,1492612309,1492612609,1496673610,\N,\N,1,4,1,0,0,Android,Linux; U; Android 7.0; SM-G930W8 Build/NRD90M,\N,\N,0,\N,Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G930W8 Build/NRD90M,Android,2,Unknown,CP,1,1496673611,\N,Android,,SM-G930W8,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,2C0E3D75A476,0,\N
