id, ap_id, mac, bytes_used, avg_signal_quality, ssid, vlan, radio_mode, ap_radio_index, ap_radio_description, connect_time, disconnect_time, ht_mode, security_mode, authen_subtype, cipher, authen_type, interface_index, ap_folder_id, is_guest_user, from_snmp_trap, aruba_retry_rate, aruba_low_speed_rate, aruba_non_unicast_rate, aruba_fragmentation_rate, aruba_retry_error_rate, aruba_receive_error_rate, forward_mode, aruba_device_type, tunneled_device_id, average_bandwidth, avg_goodput, avg_speed, search_mac, lan_ips, lan_hostnames, from_snmp_poll, from_amon, bytes_in, bytes_out, avg_signal
23571,191,90:60:F1:52:AD:6D,4290000,19,eduroam,12,a,2,802.11ac,1495349646,1495350246,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,114400,0,0,9060F152AD6D,10.50.87.20,-,1,0,3703200,586800,-76.99661017
23572,192,90:60:F1:52:AD:6D,0,\N,eduroam,12,a,2,802.11ac,1495350246,1495350546,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,9060F152AD6D,10.50.87.20,-,1,0,0,0,\N
23573,201,98:5F:D3:3B:56:49,0,33,eduroam,12,a,2,802.11ac,1495350246,1495350546,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-63
23574,191,90:60:F1:52:AD:6D,0,38,eduroam,12,a,2,802.11ac,1495350546,1495350847,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,0,0,0,9060F152AD6D,10.50.87.20,-,1,0,0,0,-58
23575,190,98:5F:D3:3B:56:49,0,32,eduroam,12,a,2,802.11ac,1495350847,1495351147,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-64
23576,201,98:5F:D3:3B:56:49,0,34,eduroam,12,a,2,802.11ac,1495351447,1495351747,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-62
23577,201,98:5F:D3:3B:56:49,0,34,eduroam,12,a,2,802.11ac,1495352048,1495352348,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-62
23578,201,98:5F:D3:3B:56:49,0,33,eduroam,12,a,2,802.11ac,1495352648,1495352949,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-63
23579,193,00:56:CD:35:AF:B8,0,\N,eduroam,12,a,2,802.11ac,1495352949,1495353249,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPhone,\N,0,0,0,0056CD35AFB8,10.50.11.113,-,1,0,0,0,\N
23580,190,98:5F:D3:3B:56:49,0,32,eduroam,12,a,2,802.11ac,1495353249,1495353549,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-64
23581,190,98:5F:D3:3B:56:49,0,35,eduroam,12,a,2,802.11ac,1495353849,1495354150,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-61
23582,201,98:5F:D3:3B:56:49,0,\N,eduroam,12,a,2,802.11ac,1495354450,1495354750,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,\N
23583,190,CC:44:63:7E:6C:8D,0,\N,eduroam,12,a,2,802.11ac,1495354450,1495354750,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPad,\N,0,0,0,CC44637E6C8D,10.50.245.48,-,1,0,0,0,\N
23584,193,90:60:F1:52:AD:6D,160500,\N,eduroam,12,a,2,802.11ac,1495352949,1495355050,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,0,0,0,0,0,0,0,iPhone,\N,713,0,0,9060F152AD6D,10.50.87.20,-,1,0,101700,58800,-64.35777778
23585,201,98:5F:D3:3B:56:49,0,\N,eduroam,12,a,2,802.11ac,1495355050,1495355350,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,\N
23586,190,CC:44:63:7E:6C:8D,0,\N,eduroam,12,a,2,802.11ac,1495355350,1495355651,0,\N,EAP-PEAP,\N,EAP (EAP-PEAP),\N,4,0,0,\N,\N,\N,\N,\N,\N,0,iPad,\N,0,0,0,CC44637E6C8D,10.50.245.48,-,1,0,0,0,\N
23587,190,98:5F:D3:3B:56:49,0,35,eduroam,12,a,2,802.11ac,1495355651,1495355951,0,\N,\N,\N,Not Authenticated,\N,4,0,0,0,0,0,0,0,0,0,Win 10,\N,0,0,0,985FD33B5649,\N,-,1,0,0,0,-41
